id,Posted at,Screen name,Text
305085690499178496,2013-02-22 22:44:31 +0000,mjkirk,What is up with the bacon fascination?
303894224812797953,2013-02-19 15:50:03 +0000,mjkirk,@gautamrege @rubyconfindia ugh wish I could go this year... Will miss the indian whiskey
302191759839096833,2013-02-14 23:05:04 +0000,mjkirk,Modulus 7 Featured on Podcast About Remote Teams http://t.co/8Er4j7jp
302145970425176065,2013-02-14 20:03:07 +0000,mjkirk,"If it's not a hell yes, it's a hell no."
302093714271129600,2013-02-14 16:35:28 +0000,mjkirk,"""If you're in business, buy something for a buck and sell it for three"" - Andrew Bachman"
301894312076136448,2013-02-14 03:23:07 +0000,mjkirk,@stabbylambda @avdi @sophthewiseone lol! nice observation :)
301829583529979904,2013-02-13 23:05:55 +0000,mjkirk,Probably not the best marketing message to send... http://t.co/uiOuUVLE
301788109648044032,2013-02-13 20:21:06 +0000,mjkirk,"@MikeG1 no, I will not say no"
301772087410974720,2013-02-13 19:17:26 +0000,mjkirk,RT @wideteams: Wide Teams Episode 070: husband & wife team @mjkirk & @sophthewiseone talk about their consulting company Modulus 7! Enjoy!...
301731244192972800,2013-02-13 16:35:09 +0000,mjkirk,"By stripping down an image to essential meaning, an artist can amplify that meaning - Scott McCloud"
301467018702508033,2013-02-12 23:05:12 +0000,mjkirk,The difference between an underdog and a loser is acceptance of a loss
301420922299109376,2013-02-12 20:02:02 +0000,mjkirk,bias towards action
301399895590453249,2013-02-12 18:38:29 +0000,mjkirk,@srshti Hey thanks for the feedback! this is really useful
301368851118039040,2013-02-12 16:35:07 +0000,mjkirk,Have you liked Modulus 7 yet on Facebook? http://t.co/0IPf5WaF
301104660645822465,2013-02-11 23:05:20 +0000,mjkirk,"Saying that you want to hire ""A"" Players is a cop out. Read the book Moneyball and say that again..."
301058568000532481,2013-02-11 20:02:10 +0000,mjkirk,What should you outsource? (photo credit HBR) http://t.co/Az9XHUeC
301010010270474240,2013-02-11 16:49:13 +0000,mjkirk,@srshti I would love to hear your thoughts on this :) : http://t.co/jSqgDTTR
301006444252254210,2013-02-11 16:35:03 +0000,mjkirk,I find it awesome that google docs says 'wantrepreneur' is a real word spelled correctly
299971781316456449,2013-02-08 20:03:40 +0000,mjkirk,The junk drawer is the enemy of understanding. - Seth Godin
299919283507564544,2013-02-08 16:35:04 +0000,mjkirk,Tomorrow is the first day of the rest of your life
299655043521601536,2013-02-07 23:05:04 +0000,mjkirk,4 Ways to Overcome Outsourcing Problems http://t.co/l5gDoPFi
299609064583868416,2013-02-07 20:02:22 +0000,mjkirk,"When life hands you lemons, listen to Tupac http://t.co/8uJdyOaJ"
299556914025603072,2013-02-07 16:35:08 +0000,mjkirk,Air Force Blog Assessment Flowchart http://t.co/yL1GYzw2 Highly useful for diffusing haters
299292688501583874,2013-02-06 23:05:12 +0000,mjkirk,Having a tough time hiring developers? Read our new ebook http://t.co/qAT9zadK
299275670423482370,2013-02-06 21:57:34 +0000,mjkirk,RT @j3: “Arg. Everything is way behind schedule. Making stuff is hard.” - Every Kickstarter Project Update
299246683869548545,2013-02-06 20:02:23 +0000,mjkirk,"""Genius is nothing more nor less than doing well what anyone can do badly."" - Amelia Barr"
299207783419609089,2013-02-06 17:27:49 +0000,mjkirk,@coderoshi you are gentleman and a scholar
299205117478051840,2013-02-06 17:17:13 +0000,mjkirk,"@coderoshi Hey I submitted a talk idea, not sure if it made it though? e-mail is matt@modulus7.com Thanks!"
299012783217991681,2013-02-06 04:32:57 +0000,mjkirk,@j3 nice! Yea my wife @sophthewiseone curses blackboard too :)
299011554869923840,2013-02-06 04:28:04 +0000,mjkirk,@j3 what is your wife studying?
298930336241446912,2013-02-05 23:05:20 +0000,mjkirk,Thinking about sending messages in bottles instead of this E-mail thing...
298884625571381248,2013-02-05 20:03:42 +0000,mjkirk,The difference between employee and entrepreneur is one works IN the business and the other works ON the business
298832126378405888,2013-02-05 16:35:05 +0000,mjkirk,"""Unless you have a list of things do do every single day you don't have a job, you have an opportunity"" - Seth Godin"
